message_id,date,emoji,reaction_type,count
724,2022-02-24T00:47:52,❤,emoji,512
724,2022-02-24T00:47:52,😢,emoji,99
724,2022-02-24T00:47:52,🙏,emoji,30
724,2022-02-24T00:47:52,👍,emoji,12
725,2022-02-24T06:42:52,❤,emoji,722
725,2022-02-24T06:42:52,😢,emoji,167
725,2022-02-24T06:42:52,🙏,emoji,56
725,2022-02-24T06:42:52,👍,emoji,28
726,2022-02-24T08:48:58,❤,emoji,416
726,2022-02-24T08:48:58,😢,emoji,67
726,2022-02-24T08:48:58,🙏,emoji,15
726,2022-02-24T08:48:58,👍,emoji,11
727,2022-02-24T17:35:31,❤,emoji,293
727,2022-02-24T17:35:31,🙏,emoji,32
727,2022-02-24T17:35:31,😢,emoji,20
727,2022-02-24T17:35:31,👍,emoji,7
728,2022-02-24T23:26:30,❤,emoji,134
728,2022-02-24T23:26:30,👍,emoji,17
728,2022-02-24T23:26:30,😢,emoji,8
728,2022-02-24T23:26:30,🙏,emoji,2
729,2022-02-25T00:35:02,❤,emoji,189
729,2022-02-25T00:35:02,😢,emoji,20
729,2022-02-25T00:35:02,🙏,emoji,16
729,2022-02-25T00:35:02,👍,emoji,8
730,2022-02-25T07:10:20,❤,emoji,127
730,2022-02-25T07:10:20,🙏,emoji,14
730,2022-02-25T07:10:20,👍,emoji,9
730,2022-02-25T07:10:20,😢,emoji,5
731,2022-02-25T10:06:50,❤,emoji,102
731,2022-02-25T10:06:50,🙏,emoji,9
731,2022-02-25T10:06:50,👍,emoji,5
731,2022-02-25T10:06:50,😢,emoji,5
732,2022-02-25T13:17:19,❤,emoji,101
732,2022-02-25T13:17:19,🙏,emoji,7
732,2022-02-25T13:17:19,😢,emoji,5
732,2022-02-25T13:17:19,👍,emoji,3
733,2022-02-25T18:55:42,❤,emoji,402
733,2022-02-25T18:55:42,🙏,emoji,37
733,2022-02-25T18:55:42,👍,emoji,25
733,2022-02-25T18:55:42,😢,emoji,13
734,2022-02-25T23:59:12,❤,emoji,111
734,2022-02-25T23:59:12,🙏,emoji,8
734,2022-02-25T23:59:12,👍,emoji,7
734,2022-02-25T23:59:12,😢,emoji,5
735,2022-02-26T07:57:02,❤,emoji,233
735,2022-02-26T07:57:02,👍,emoji,18
735,2022-02-26T07:57:02,😢,emoji,10
735,2022-02-26T07:57:02,🙏,emoji,8
736,2022-02-26T12:11:58,❤,emoji,74
736,2022-02-26T12:11:58,👍,emoji,5
736,2022-02-26T12:11:58,😢,emoji,4
736,2022-02-26T12:11:58,🙏,emoji,3
737,2022-02-26T16:16:47,❤,emoji,52
737,2022-02-26T16:16:47,😢,emoji,5
737,2022-02-26T16:16:47,👍,emoji,4
737,2022-02-26T16:16:47,🙏,emoji,3
738,2022-02-26T19:27:44,❤,emoji,49
738,2022-02-26T19:27:44,👍,emoji,5
738,2022-02-26T19:27:44,😢,emoji,3
738,2022-02-26T19:27:44,🙏,emoji,1
740,2022-02-27T09:38:45,❤,emoji,54
740,2022-02-27T09:38:45,👍,emoji,4
740,2022-02-27T09:38:45,😢,emoji,3
740,2022-02-27T09:38:45,🙏,emoji,2
741,2022-02-27T10:00:28,❤,emoji,45
741,2022-02-27T10:00:28,👍,emoji,5
741,2022-02-27T10:00:28,😢,emoji,5
741,2022-02-27T10:00:28,🙏,emoji,1
742,2022-02-27T10:46:35,❤,emoji,40
742,2022-02-27T10:46:35,😢,emoji,4
742,2022-02-27T10:46:35,👍,emoji,2
742,2022-02-27T10:46:35,🙏,emoji,1
743,2022-02-27T11:10:18,❤,emoji,41
743,2022-02-27T11:10:18,😢,emoji,4
743,2022-02-27T11:10:18,👍,emoji,3
743,2022-02-27T11:10:18,🙏,emoji,1
744,2022-02-27T13:43:02,❤,emoji,84
744,2022-02-27T13:43:02,😢,emoji,14
744,2022-02-27T13:43:02,🙏,emoji,10
744,2022-02-27T13:43:02,👍,emoji,7
745,2022-02-27T15:36:02,❤,emoji,89
745,2022-02-27T15:36:02,👍,emoji,13
745,2022-02-27T15:36:02,🙏,emoji,7
745,2022-02-27T15:36:02,😢,emoji,6
746,2022-02-27T18:03:56,❤,emoji,52
746,2022-02-27T18:03:56,😢,emoji,7
746,2022-02-27T18:03:56,👍,emoji,4
746,2022-02-27T18:03:56,🙏,emoji,4
747,2022-02-27T18:57:20,❤,emoji,32
747,2022-02-27T18:57:20,😢,emoji,5
747,2022-02-27T18:57:20,👍,emoji,3
747,2022-02-27T18:57:20,🙏,emoji,2
748,2022-02-28T10:48:44,❤,emoji,55
748,2022-02-28T10:48:44,👍,emoji,9
748,2022-02-28T10:48:44,😢,emoji,6
748,2022-02-28T10:48:44,🙏,emoji,3
749,2022-02-28T12:48:58,❤,emoji,39
749,2022-02-28T12:48:58,😢,emoji,3
749,2022-02-28T12:48:58,🙏,emoji,3
749,2022-02-28T12:48:58,👍,emoji,2
