topic_id,rank,term,weight
0,1,європейський,515.3308114673756
0,2,нато,398.478088381791
0,3,єс,319.33360259090455
0,4,європа,310.62905141487937
0,5,польща,228.06666575311516
0,6,євросоюз,218.84347046286004
0,7,рішення,216.72138619914458
0,8,підтримка,209.7063212492965
0,9,саміт,203.45277111453245
0,10,рада,187.95130296615812
0,11,спільний,159.15512390029855
0,12,країна,141.74384936939748
0,13,переговори,140.2208822116578
0,14,дякувати,139.06875629855597
0,15,членство,135.06666620389743
1,1,напрямок,602.5730192463494
1,2,воїн,596.5793832720087
1,3,дякувати,483.2884944010138
1,4,російський,353.43160608387916
1,5,окупант,350.27301670688297
1,6,сила,345.4252366219748
1,7,слава,309.363789800312
1,8,бій,293.19643565372115
1,9,операція,276.1140803342459
1,10,позиція,251.24470182904818
1,11,підрозділ,241.2964841311842
1,12,дія,236.53705628705862
1,13,фронт,234.9821945454573
1,14,бойовий,210.39144990752467
1,15,ситуація,200.00020838611763
2,1,підтримка,1279.938794612374
2,2,міністр,722.8260284461003
2,3,дякувати,666.4297886302204
2,4,прем,655.9186224094992
2,5,єрний,603.674168588806
2,6,оборонний,591.6977620167327
2,7,обговорити,565.9941811427043
2,8,допомога,530.7182885135582
2,9,зустріч,394.50188824625775
2,10,співпраця,331.93275409914736
2,11,український,296.82008119083196
2,12,вдячний,268.59620817530106
2,13,народ,268.38720144086847
2,14,посилення,263.87355908929226
2,15,спільний,257.5987653120928
3,1,людина,482.8139834746786
3,2,життя,460.09037964459225
3,3,українець,446.6440734322324
3,4,пам,433.6035438059111
3,5,український,385.9961352284416
3,6,день,365.85329909404754
3,7,ять,296.3261546001295
3,8,герой,269.2620311985728
3,9,держава,261.70037477770063
3,10,незалежність,246.13370421401802
3,11,народ,243.02172537577667
3,12,рік,240.057420246358
3,13,свобода,230.10389080010498
3,14,війна,226.02133047787098
3,15,перемога,214.42231704988197
4,1,світ,586.9877694199587
4,2,європа,583.9553538373177
4,3,мати,455.0805305993746
4,4,країна,333.8055969058812
4,5,могти,300.9378610410176
4,6,безпека,289.9045926140094
4,7,війна,285.47172577837824
4,8,об,211.65859386127883
4,9,єдність,188.8990126187844
4,10,свобода,163.80359855995198
4,11,глобальний,161.57918838867485
4,12,народ,160.64255451324638
4,13,росія,152.82642429593588
4,14,право,152.26154426550002
4,15,держава,146.4879676021296
5,1,російський,1253.4563033494355
5,2,удар,1159.487546985183
5,3,людина,1062.3097286724937
5,4,ракета,674.0490763631921
5,5,життя,583.2562525637331
5,6,терор,521.8676587219911
5,7,місто,513.7099149936016
5,8,дрон,461.022904157048
5,9,дякувати,411.5545265039322
5,10,росія,357.1077845049469
5,11,працювати,347.9434608110508
5,12,захист,322.6959566684459
5,13,допомагати,312.8919846972471
5,14,ппо,304.4624567470843
5,15,співчуття,262.1534104632658
6,1,росія,1281.2846684982746
6,2,війна,1064.0826818758997
6,3,мир,542.3875341045504
6,4,путін,396.13695293556566
6,5,могти,317.9885955171819
6,6,хотіти,302.5934967131471
6,7,тиск,297.5057848029229
6,8,світ,279.81203113272596
6,9,мати,268.37431505259883
6,10,потрібний,218.95919245418435
6,11,російський,215.90278614687182
6,12,припинення,203.15811926017287
6,13,вогонь,202.92751410157624
6,14,сильний,200.20762843962834
6,15,дипломатія,171.76642636668927
7,1,зустріч,575.6650064671819
7,2,президент,559.8989285322494
7,3,безпека,554.5331509481208
7,4,мир,541.1472712670975
7,5,партнер,497.1059569930745
7,6,працювати,385.5719559522807
7,7,говорити,382.8614715563211
7,8,дякувати,362.46525029319974
7,9,війна,341.573560646897
7,10,мати,301.6011969457132
7,11,європа,299.2262009502009
7,12,сполучений,293.65889287968827
7,13,розмова,283.2112791427554
7,14,крок,271.87192850580686
7,15,америка,268.3418706882617
8,1,російський,519.3167063526092
8,2,людина,416.062993674316
8,3,росія,362.25027205654055
8,4,мати,291.60079838805865
8,5,світ,257.12241755243656
8,6,дитина,217.96515895291003
8,7,держава,217.72820121495369
8,8,повернути,203.87550877342255
8,9,територія,200.7957212775493
8,10,український,200.06104782477988
8,11,війна,190.83313068308854
8,12,оон,171.4432850244513
8,13,міжнародний,170.97853385201546
8,14,життя,157.40817323047716
8,15,окупант,148.9851546705808
9,1,дякувати,1160.8361588784403
9,2,воїн,577.6796559831474
9,3,слава,535.2799822949595
9,4,держава,476.4164208694412
9,5,український,447.13097857892075
9,6,день,413.32641786112134
9,7,сила,391.0171138438662
9,8,допомагати,356.6547563605104
9,9,людина,269.07732748113364
9,10,державний,268.5923504178517
9,11,працювати,266.6415305737976
9,12,захист,205.37304317045562
9,13,захисник,203.2920013418637
9,14,життя,195.8969116551511
9,15,захищати,169.9374384817852
10,1,мир,548.2041853594164
10,2,саміт,318.9689393066331
10,3,підтримка,269.80072125122183
10,4,обговорити,248.2237435160903
10,5,український,226.41635083200603
10,6,зустріч,225.62626506205473
10,7,участь,218.92050532276107
10,8,країна,207.34653286903384
10,9,президент,206.00971016045852
10,10,формула,205.22111777634746
10,11,глобальний,175.24649316304408
10,12,дякувати,165.97950089928628
10,13,провести,162.05682630449434
10,14,розмова,152.76595099473062
10,15,співпраця,150.85876687785031
11,1,мати,316.62349512786096
11,2,держава,206.108610546416
11,3,український,196.69353132104754
11,4,робота,195.40368996665768
11,5,людина,186.12355593673962
11,6,працювати,178.47378233788478
11,7,підтримка,155.45509350608765
11,8,новий,148.81202085952532
11,9,програма,148.4973802056169
11,10,рік,147.83841557542956
11,11,державний,144.36092503158937
11,12,бізнес,140.1327397119064
11,13,громада,138.23930774992925
11,14,економічний,128.30736861512142
11,15,час,127.12346829299634
12,1,дрон,512.0096228568327
12,2,оборона,488.1755725269568
12,3,доповідь,486.0210415174251
12,4,виробництво,362.9568626204994
12,5,міністр,359.07144613876966
12,6,зброя,313.29064787554256
12,7,захист,310.93258255866584
12,8,партнер,288.4394324135327
12,9,питання,285.3973182153825
12,10,провести,281.43014317986916
12,11,ситуація,270.4775796602798
12,12,ставка,268.06666623745963
12,13,система,252.86518595426224
12,14,військовий,237.2737414666988
12,15,сила,227.73997943292594
13,1,росія,781.6340911322412
13,2,російський,754.7798448743924
13,3,санкція,541.0268460777669
13,4,мати,224.77628235061738
13,5,санкційний,224.7682556071348
13,6,рішення,197.84751061033242
13,7,війна,177.40417054231202
13,8,партнер,167.61906420561715
13,9,держава,160.47066355621814
13,10,тиск,160.26028428798742
13,11,новий,153.49407190780875
13,12,пакет,147.0923739247188
13,13,агресія,132.51956848213584
13,14,світ,124.58869308802865
13,15,працювати,124.06743017402171
14,1,бригада,729.7946713209119
14,2,окремий,653.5562693083443
14,3,ім,198.066666139409
14,4,я,195.52960376293925
14,5,механізований,185.06666653702322
14,6,дякувати,173.76969684861078
14,7,воїн,129.07037762131733
14,8,сила,121.92181738301139
14,9,штурмовий,117.22913211489934
14,10,морський,111.84843718286416
14,11,мама,107.80369984956255
14,12,фото,92.76702971339168
14,13,оборона,80.53437430344232
14,14,піхота,79.25962674835824
14,15,артилерійський,72.36860670433742
